INSTRUCTION DIVISION
TIMETABLE SECOND SEMESTER 2016-2017
"January 12, 2017"
II. COURSEWISE TIMETABLE,,,,,,2,,SECOND SEMESTER 2016-2017,,,,






II. COURSEWISE TIMETABLE,,,,,,11,,SECOND SEMESTER 2016-2017,,,,






,,,,,2,Smita Raghuvanshi,1120,T S,1 2,,,
,,,,,3,Srinivas Appari,1120,T Th,7 8,,,
1189,CHE F342,PROCESS DYN & CONTROL,3,-,3,1,HK MOHANTA,6106,T Th S,5,12/05,FN
,,Tutorial,,,1,HK Mohanta,6151,F,1,,,
,,,,,,Tapas Kumar Patra,,,,,,
,,,,,2,P Chattopadhyay,6103,F,1,,,
1190,CHE F343,PROCESS DES PRINCIPLE II,3,-,3,1,P CHATTOPADHYAY,6151,T Th S,4,09/05,FN
,,Tutorial,,,1,P Chattopadhyay,6152,W,1,,,
,,,,,2,Arvind Kumar Sharma,6151,W,1,,,
1668,CHE F366,LABORATORY PROJECT,-,-,3,1,HK MOHANTA,,,,,
1738,CHE F367,LABORATORY PROJECT,-,-,3,1,HK MOHANTA,,,,,
1687,CHE F376,DESIGN PROJECT,-,-,3,1,HK MOHANTA,,,,,
1754,CHE F377,DESIGN PROJECT,-,-,3,1,HK MOHANTA,,,,,
1213,CHE F418,MODEL & SIMU IN CHE ENGG,3,-,3,1,SURESH GUPTA,6154,T Th S,3,13/05,FN
1203,CHE F419,CHEMICAL PROCESS TECH,3,-,3,1,SMITA RAGHUVANSHI,6160,M W F,8,15/05,FN
1205,CHE F421,BIOCHEMICAL ENGINEERING,3,-,3,1,ARVIND KUMAR SHARMA,6151,M W F,3,11/05,FN
1208,CHE F471,ADVANCE PROCESS CONTROL,3,-,3,1,AMIT JAIN,6157,M W F,9,06/05,FN
1209,CHE F491,SPECIAL PROJECT,-,-,3,1,HK MOHANTA,,,,,
2146,CHE G552,ADV TRANSPORT PHENOMENA,-,-,5,1,PRATIK N SHETH,6153,M W F,9,10/05,AN
2148,CHE G554,COMPUT FLUID DYNAMICS,-,-,4,1,PRIYA C SANDE,6154,M W F,7,06/05,AN
729,CHE G641,REACTION ENGINEERING,3,2,5,1,SRINIVAS APPARI,6108,M W F,4,13/05,AN
1554,CHEM F241,INORGANIC CHEMISTRY II,3,-,3,1,MADHUSHREE SARKAR,3245,M W F,4,05/05,FN
,,Tutorial,,,,Madhushree Sarkar,3245,Th,1,,,
1555,CHEM F242,CHEMICAL EXPER I,-,3,3,1,RAJEEV SAKHUJA,3105,T Th,7 8 9,,
,,,,,,Ajay Kumar Sah,,,,,,
,,,,,,Anil Kumar,,,,,,
,,,,,,Dalip Kumar,,,,,,
II. COURSEWISE TIMETABLE,,,,,,12,,SECOND SEMESTER 2016-2017,,,,






,,,,,,Indresh Kumar,,,,,,
,,,,,,Khandagale S Bhausaheb,,,,,,
,,,,,,Madhushree Sarkar,,,,,,
,,,,,,Saroj,,,,,,
